suburb,distance,affordability,avg_price,price_change_rate_may,max_price_change_rate,min_price_change_rate
south-yarra-vic-3141,2.4269,29,827604.17,25.18,28.57,-12.37
st-kilda-vic-3182,3.5319,44,597260,25.05,22.31,-10.58
docklands-vic-3008,3.8201,58,698000,15.89,9.84,-8.89
balaclava-vic-3183,4.7223,39,686426.83,45.56,31.67,-5.21
burnley-vic-3121,5.1016,44,735990.38,17.72,15.66,-11.29
ripponlea-vic-3185,5.3513,36,782806.82,8.38,15.13,-9.99
port-melbourne-vic-3207,5.379,20,862433.33,17.16,216.83,-55.47
moonee-ponds-vic-3039,8.062,100,572200,2.64,16.78,-18.03
footscray-vic-3011,8.5273,100,491800,40.51,36.1,-10.02
caulfield-east-vic-3145,9.2616,57,597500,-6.14,19.76,-16.32
reservoir-vic-3073,11.1448,59,614956.41,14.33,29.94,-24.4
carnegie-vic-3163,11.1858,38,742230.77,66.49,50.38,-8.85
south-kingsville-vic-3015,11.3157,75,486625,-12.69,32.79,-21.5
bentleigh-vic-3204,11.3525,50,848250,27.69,33.49,-12.64
seaholme-vic-3018,14.5179,70,663250,-5.36,21.54,-12.2
bundoora-vic-3083,15.3624,100,444250,14.79,38.55,-14.4
altona-vic-3018,16.8866,77,648055.56,-5.36,21.54,-8.98
box-hill-vic-3128,17.217,77,479944.44,3.15,43.45,-17.17
clarinda-vic-3169,18.3095,45,673318.18,-20.57,10.56,-15.74
moorabbin-airport-vic-3194,19.7251,62,735046.88,26.57,14.4,-7.62
notting-hill-vic-3168,20.1047,25,865199,25.18,407.64,-81.85
braeside-vic-3195,23.2256,58,737041.67,8.11,23.54,-12.02
seabrook-vic-3028,24.1082,100,440333.33,0.08,12.59,-10.09
park-orchards-vic-3114,27.3047,84,641307.69,40.05,17.83,-10.81
boronia-vic-3155,34.8594,21,669785.71,11.7,11.92,-14.22
balnarring-vic-3926,51.4638,55,494644.44,7.16,29.22,-22.61
